,amount (near)
1414,8.0
1415,8.0
1416,60.0
1417,8.0
1418,8.0
1419,8.0
1420,0.09999999999999999
1421,8.0
1422,8.0
1423,8.0
1424,8.0
1425,8.0
1426,8.0
1427,10.0
1428,7.000000000000001
1429,8.0
1430,8.0
1431,0.09999999999999999
1432,8.0
1433,40.00000000000001
1434,8.0
1435,8.0
1436,8.0
1437,8.0
1438,8.0
1439,8.0
1440,60.0
1441,8.0
1442,100.0
1443,100.0
1444,30.0
1445,200.0
1446,60.0
1447,8.0
1448,8.0
1449,50.0
1450,50.0
1451,60.0
1452,0.0
1453,8.0
1454,8.0
1455,8.0
1456,8.0
1457,8.0
1458,8.0
1459,8.0
1460,8.0
1461,8.0
1462,8.0
1463,8.0
1464,8.0
1465,8.0
1466,8.0
1467,8.0
1468,8.0
1469,8.0
1470,5.000000000000001
1471,5.000000000000001
1472,8.0
1473,8.0
1474,5.000000000000001
1475,0.0
1476,5.000000000000001
1477,25.0
1478,5.000000000000001
1479,8.0
1480,8.0
1481,8.0
1482,8.0
1483,8.0
1484,8.0
1485,8.0
1486,10.0
1487,30.0
1488,0.0
1489,8.0
1490,10.0
1491,50.1
1492,25.0
1493,20.0
1494,8.0
1495,5.000000000000001
1496,5.000000000000001
1497,5.000000000000001
1498,5.000000000000001
1499,5.000000000000001
1500,30.0
1501,5.000000000000001
1502,8.0
1503,5.000000000000001
1504,5.000000000000001
1505,5.000000000000001
1506,25.0
1507,200.0
1508,30.0
1509,20.0
1510,20.0
1511,25.0
1512,25.0
1513,20.0
1514,25.0
1515,20.0
1516,8.0
1517,8.0
1518,150.0
1519,100.0
1520,250.0
1521,250.0
1522,8.0
1523,200.0
1524,25.0
1525,5.000000000000001
1526,5.000000000000001
1527,10.0
1528,350.0
1529,90.00000000000001
1530,25.0
1532,20.0
1533,8.0
1534,5.000000000000001
1535,20.0
1536,5.000000000000001
1537,20.0
1538,100.0
1539,5.000000000000001
1540,0.0
1541,60.0
1542,20.0
1543,40.00000000000001
1544,5.000000000000001
1545,5.000000000000001
1546,5.000000000000001
1547,5.000000000000001
1548,7.000000000000001
1549,20.0
1550,20.0
1551,20.0
1552,20.0
1553,20.0
1554,8.0
1555,8.0
1556,0.0
1557,0.0
1558,20.0
1559,20.0
1560,20.0
1561,40.00000000000001
1562,20.0
1563,20.0
1564,20.0
1565,5.000000000000001
1566,20.0
1567,5.000000000000001
1568,5.000000000000001
1569,20.0
1570,400.0
1571,400.0
1572,410.0
1573,25.0
1574,100.0
1575,100.0
1576,30.0
1577,60.0
1578,60.0
1579,90.00000000000001
1580,100.0
1581,100.0
1583,231.0
1584,400.0
1585,400.0
1586,400.0
1587,50.0
1588,170.0
1589,400.0
1590,400.0
1591,400.0
1592,50.0
1593,50.0
1594,100.0
1595,100.0
1596,75.0
1597,25.0
1598,25.0
1599,100.0
1600,50.0
1601,50.0
1602,0.0
1603,0.0
1604,30.0
1605,60.0
1606,60.0
1607,0.0
1608,25.0
1609,30.0
1610,50.0
1611,20.0
1612,25.0
1613,10.0
1614,8.0
1615,7.000000000000001
1616,8.0
1617,120.0
1618,30.0
1619,11.78203
1620,15.0
1621,10.0
1622,32.0
1623,26.0
1624,10.0
1625,10.0
1626,20.0
1627,7.5
1628,0.0
1629,14.0
1630,28.0
1631,100.0
1632,100.0
1633,100.0
1634,10.7
1635,174.7
1636,7.000000000000001
1637,7.000000000000001
1638,6.5
1639,4.0
1640,13.0
1641,7.000000000000001
1642,3.0
1643,6.5
1644,32.5
1645,7.000000000000001
1646,7.000000000000001
1647,21.5
1648,18.0
1649,7.000000000000001
1650,8.07174888
1651,10.0
1652,2.8
1653,9.0
1654,4.6
1655,10.0
1656,10.0
1657,10.0
1658,20.0
1659,20.0
1660,20.0
1661,20.0
1662,6.5
1663,6.399999999999999
1664,50.0
1665,6.5
1666,16.5
1667,6.5
1668,19.0
1669,11.0
1670,10.0
1671,19.0
1672,33.0
1673,18.4
1674,4.0
1675,13.4
1676,10.0
1677,19.0
1678,33.0
1679,5.000000000000001
1680,175.0
1681,6.5
