,Days
645,39.0
647,30.0
648,28.0
649,37.0
650,40.0
651,38.0
652,30.0
653,37.0
654,26.0
656,40.0
657,39.0
658,34.0
659,22.0
660,33.0
662,41.0
664,2.0
665,33.0
666,42.0
667,39.0
668,26.0
669,39.0
672,33.0
675,38.0
291,7.0
676,25.0
677,44.0
678,28.0
680,30.0
681,39.0
682,2.0
683,4.0
684,27.0
686,1.0
687,42.0
690,30.0
693,39.0
696,67.0
697,40.0
698,30.0
226,22.0
699,1.0
702,37.0
703,30.0
704,26.0
705,31.0
709,27.0
227,31.0
227,31.0
710,32.0
1164,25.0
1164,22.0
1623,32.0
142,20.0
292,6.0
292,20.0
293,41.0
944,33.0
945,1.0
947,33.0
948,4.0
949,33.0
950,33.0
951,33.0
952,23.0
954,32.0
955,33.0
956,33.0
957,2.0
958,33.0
959,33.0
960,3.0
961,33.0
962,67.0
963,32.0
964,33.0
965,32.0
966,33.0
967,1.0
968,33.0
969,33.0
971,32.0
890,33.0
973,7.0
974,33.0
975,33.0
976,33.0
977,33.0
978,32.0
980,33.0
981,32.0
982,33.0
984,33.0
985,32.0
294,20.0
986,33.0
987,33.0
891,33.0
988,28.0
989,32.0
990,34.0
1015,42.0
1184,9.0
991,33.0
377,11.0
992,26.0
993,2.0
228,0.0
994,1.0
144,10.0
144,10.0
711,9.0
296,77.0
713,32.0
146,5.0
714,8.0
297,33.0
715,9.0
1628,32.0
298,3.0
149,7.0
149,13.0
150,41.0
150,1.0
378,19.0
378,26.0
301,20.0
301,15.0
1629,4.0
1631,2.0
1632,2.0
1634,4.0
380,77.0
302,8.0
229,40.0
229,17.0
995,37.0
995,7.0
151,42.0
1638,2.0
230,28.0
230,26.0
304,5.0
231,29.0
1639,10.0
232,21.0
233,5.0
234,8.0
1643,2.0
305,3.0
305,3.0
1645,3.0
1646,4.0
306,4.0
309,47.0
310,11.0
311,35.0
311,55.0
152,15.0
152,10.0
382,0.0
153,20.0
312,55.0
383,1.0
1070,79.0
717,7.0
1647,3.0
316,4.0
316,4.0
235,53.0
155,37.0
237,6.0
238,6.0
239,6.0
1649,5.0
386,0.0
718,29.0
1016,20.0
240,14.0
240,3.0
241,47.0
241,47.0
242,40.0
242,40.0
243,44.0
243,3.0
244,8.0
244,32.0
245,24.0
157,17.0
157,32.0
246,0.0
246,0.0
719,23.0
720,26.0
317,35.0
248,11.0
248,34.0
318,28.0
721,28.0
722,17.0
319,8.0
723,29.0
724,3.0
1652,11.0
727,27.0
249,26.0
249,49.0
321,10.0
1166,2.0
322,7.0
322,7.0
1170,35.0
250,10.0
250,10.0
1172,17.0
1172,17.0
389,11.0
728,0.0
1657,1.0
892,30.0
892,30.0
1173,56.0
730,29.0
731,43.0
735,29.0
736,29.0
737,29.0
742,2.0
743,29.0
744,29.0
390,12.0
746,30.0
747,30.0
750,30.0
751,30.0
752,27.0
893,30.0
755,64.0
757,29.0
762,30.0
765,30.0
767,30.0
770,30.0
771,27.0
773,30.0
775,2.0
779,30.0
780,30.0
781,3.0
785,19.0
788,30.0
790,30.0
793,1.0
796,30.0
797,11.0
894,4.0
1174,32.0
802,59.0
801,59.0
801,30.0
323,2.0
806,31.0
807,30.0
808,29.0
810,65.0
1659,1.0
817,31.0
1661,29.0
818,30.0
1662,3.0
819,29.0
821,1.0
822,31.0
1664,0.0
823,28.0
825,30.0
826,30.0
1667,1.0
827,31.0
828,31.0
829,31.0
830,31.0
831,31.0
1668,12.0
832,1.0
833,31.0
834,31.0
836,1.0
895,31.0
1669,10.0
838,31.0
840,61.0
1671,3.0
1672,2.0
841,32.0
842,32.0
896,33.0
896,19.0
843,31.0
844,1.0
1175,2.0
846,1.0
160,2.0
391,0.0
161,16.0
848,3.0
325,7.0
162,7.0
850,4.0
165,8.0
897,31.0
851,3.0
166,6.0
327,47.0
328,50.0
852,2.0
167,13.0
251,38.0
168,18.0
168,18.0
329,9.0
330,7.0
330,7.0
169,35.0
898,38.0
172,6.0
172,6.0
1177,6.0
331,26.0
173,0.0
174,0.0
1675,7.0
332,1.0
395,6.0
252,10.0
1677,1.0
253,76.0
253,28.0
1678,8.0
1679,37.0
1680,8.0
396,7.0
254,13.0
255,79.0
255,79.0
256,13.0
